matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
original,4,CTNM4|CYRE3|GRND3|LREN3,Consumer Cyclical|Real Estate|Consumer Cyclical|Consumer Cyclical,Textiles|Real Estate|Apparel and Footwear|Retail,2,False,False,0.39767727213428844,0.2632525378739913,0.6083504304359342
original,4,CYRE3|GUAR3|LREN3|RENT3,Real Estate|Consumer Cyclical|Consumer Cyclical|Industrials,Real Estate|Retail|Retail|Transportation,3,False,False,0.5534740952336019,0.46799052209397396,0.6083504304359342
original,4,CYRE3|ITSA4|LREN3|RENT3,Real Estate|Financials|Consumer Cyclical|Industrials,Real Estate|Financial Services|Retail|Transportation,4,False,False,0.5727329265467785,0.5199131501113778,0.6231869199514434
original,4,CYRE3|POMO4|RAPT4|ROMI3,Real Estate|Industrials|Industrials|Industrials,Real Estate|Transportation Equipment|Transportation Equipment|Machinery and Equipment,2,False,False,0.4715189295816917,0.34620483216451486,0.5887913084879779
original,4,EMAE4|POMO4|RAPT4|SHUL4,Utilities|Industrials|Industrials|Industrials,Electric Utility|Transportation Equipment|Transportation Equipment|Machinery and Equipment,2,False,False,0.32248253022268686,0.20175759344713043,0.5762506091908597
original,4,EMBR3|GGBR4|GOAU4|KLBN4,Industrials|Basic Materials|Basic Materials|Basic Materials,Aerospace and Defense|Steel and Metallurgy|Steel and Metallurgy|Paper and Cellulose,2,False,False,0.5222590192795448,0.3056776600276992,0.9508405471575873
original,4,GGBR3|GGBR4|GOAU3|GOAU4,Basic Materials|Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.8856764557662505,0.8220940519172879,0.9508405471575873
original,4,GGBR3|GGBR4|GOAU3|MGEL4,Basic Materials|Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.5423319036079609,0.20285172043450758,0.9276598077761655
original,4,GGBR3|GGBR4|GOAU4|USIM5,Basic Materials|Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.8404962502651915,0.73857473609219,0.9508405471575873
original,4,GGBR4|PETR3|PETR4|VALE3,Basic Materials|Oil Gas and Biofuels|Oil Gas and Biofuels|Basic Materials,Steel and Metallurgy|Oil Gas and Biofuels|Oil Gas and Biofuels|Mining,2,False,False,0.6763883731169423,0.582041508010382,0.9755322818089285
original,4,PETR3|PETR4|UNIP6|VALE3,Oil Gas and Biofuels|Oil Gas and Biofuels|Basic Materials|Basic Materials,Oil Gas and Biofuels|Oil Gas and Biofuels|Chemicals|Mining,2,False,False,0.5763293307848472,0.4076162668606353,0.9755322818089285
original,4,POMO4|RAPT4|ROMI3|SHUL4,Industrials|Industrials|Industrials|Industrials,Transportation Equipment|Transportation Equipment|Machinery and Equipment|Machinery and Equipment,1,True,False,0.3950844192724808,0.3214768708721888,0.5762506091908597
