eigen_rank,eigenvalue,above_mp_lambda_max,symbol,company_name,sector,subsector,segment,loading,abs_loading,loading_rank
3,1.7838761140083956,True,EMBR3,EMBRAER,Industrials,Aerospace and Defense,Aerospace,0.053973910484722526,0.053973910484722526,40
3,1.7838761140083956,True,ETER3,ETERNIT,Industrials,Construction Materials,Construction Materials,0.19964947803439004,0.19964947803439004,10
3,1.7838761140083956,True,FESA4,FERBASA,Basic Materials,Steel and Metallurgy,Metallurgy,0.14393765906309922,0.14393765906309922,15
3,1.7838761140083956,True,GGBR3,GERDAU,Basic Materials,Steel and Metallurgy,Steel,0.04143966696711514,0.04143966696711514,48
3,1.7838761140083956,True,GGBR4,GERDAU,Basic Materials,Steel and Metallurgy,Steel,0.027766332079930692,0.027766332079930692,52
3,1.7838761140083956,True,GOAU3,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,0.07069343508254479,0.07069343508254479,31
3,1.7838761140083956,True,GOAU4,METALURGICA GERDAU,Basic Materials,Steel and Metallurgy,Holdings,0.0364435092250888,0.0364435092250888,50
3,1.7838761140083956,True,GRND3,GRENDENE,Consumer Cyclical,Apparel and Footwear,Footwear,0.11591521924083983,0.11591521924083983,22
3,1.7838761140083956,True,GUAR3,GUARARAPES,Consumer Cyclical,Retail,Apparel,0.20393301248677476,0.20393301248677476,9
3,1.7838761140083956,True,ITSA3,ITAUSA,Financials,Financial Services,Holdings,-0.13088740477262456,0.13088740477262456,19
3,1.7838761140083956,True,ITSA4,ITAUSA,Financials,Financial Services,Holdings,-0.2622915131832707,0.2622915131832707,5
3,1.7838761140083956,True,KEPL3,KEPLER WEBER,Industrials,Machinery and Equipment,Agricultural,0.08022438714640219,0.08022438714640219,28
3,1.7838761140083956,True,KLBN4,KLABIN,Basic Materials,Paper and Cellulose,Paper and Cellulose,0.022893854720940236,0.022893854720940236,53
3,1.7838761140083956,True,LREN3,LOJAS RENNER,Consumer Cyclical,Retail,Apparel,0.045586424749294335,0.045586424749294335,46
3,1.7838761140083956,True,MGEL4,MANGELS,Basic Materials,Steel and Metallurgy,Metallurgy,0.06844903527881636,0.06844903527881636,33
3,1.7838761140083956,True,PETR3,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,-0.15158909342775206,0.15158909342775206,13
3,1.7838761140083956,True,PETR4,PETROBRAS,Oil Gas and Biofuels,Oil Gas and Biofuels,Exploration Refining and Distribution,-0.1513207551976604,0.1513207551976604,14
3,1.7838761140083956,True,POMO4,MARCOPOLO,Industrials,Transportation Equipment,Commercial Vehicles,0.10548596536391984,0.10548596536391984,25
3,1.7838761140083956,True,PSSA3,PORTO SEGURO,Financials,Insurance,Insurance,-0.05534160053609036,0.05534160053609036,38
3,1.7838761140083956,True,RAPT4,RANDON,Industrials,Transportation Equipment,Auto Parts,0.1345077855499582,0.1345077855499582,17
3,1.7838761140083956,True,RENT3,LOCALIZA,Industrials,Transportation,Rent a Car,0.06823736736546787,0.06823736736546787,34
3,1.7838761140083956,True,ROMI3,INDS ROMI,Industrials,Machinery and Equipment,Industrial Machinery,0.2922217213255465,0.2922217213255465,1
3,1.7838761140083956,True,SAPR4,SANEPAR,Utilities,Water and Sanitation,Water and Sanitation,0.06285255716134454,0.06285255716134454,35
3,1.7838761140083956,True,SBSP3,SABESP,Utilities,Water and Sanitation,Water and Sanitation,-0.07117941540684825,0.07117941540684825,30
3,1.7838761140083956,True,SCAR3,SAO CARLOS,Real Estate,Real Estate,Commercial Properties,-0.03738496099611637,0.03738496099611637,49
3,1.7838761140083956,True,SHUL4,SCHULZ,Industrials,Machinery and Equipment,Industrial Machinery,0.2902936796249853,0.2902936796249853,2
3,1.7838761140083956,True,TELB3,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,-0.04969747934386919,0.04969747934386919,42
3,1.7838761140083956,True,TELB4,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,-0.019203648257544947,0.019203648257544947,55
3,1.7838761140083956,True,TRPL4,ISA CTEEP,Utilities,Electric Utility,Transmission,-0.05336055618445575,0.05336055618445575,41
3,1.7838761140083956,True,UNIP6,UNIPAR,Basic Materials,Chemicals,Chemicals,0.1352509513397859,0.1352509513397859,16
3,1.7838761140083956,True,USIM3,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,0.04590101876907504,0.04590101876907504,44
3,1.7838761140083956,True,USIM5,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,0.047512540322008016,0.047512540322008016,43
3,1.7838761140083956,True,VALE3,VALE,Basic Materials,Mining,Minerals,-0.06873477898641919,0.06873477898641919,32
4,1.6543442182562562,True,ALPA4,ALPARGATAS,Consumer Cyclical,Apparel and Footwear,Footwear,0.00860572031865806,0.00860572031865806,40
4,1.6543442182562562,True,BAZA3,BANCO DA AMAZONIA,Financials,Banks,Banks,0.029679089151313495,0.029679089151313495,15
4,1.6543442182562562,True,BBAS3,BANCO DO BRASIL,Financials,Banks,Banks,-0.0214238150210389,0.0214238150210389,21
4,1.6543442182562562,True,BBDC3,BRADESCO,Financials,Banks,Banks,-0.04666714482048556,0.04666714482048556,9
4,1.6543442182562562,True,BBDC4,BRADESCO,Financials,Banks,Banks,-0.04187888013569559,0.04187888013569559,11
4,1.6543442182562562,True,BEES3,BANESTES,Financials,Banks,Banks,0.003842693297912744,0.003842693297912744,49
4,1.6543442182562562,True,BOBR4,BOMBRIL,Consumer Non-Cyclical,Personal and Home Care,Home Care,0.006348411798269993,0.006348411798269993,46
4,1.6543442182562562,True,BRAP3,BRADESPAR,Basic Materials,Mining,Holdings,-0.03756257959101861,0.03756257959101861,12
4,1.6543442182562562,True,BRAP4,BRADESPAR,Basic Materials,Mining,Holdings,0.001766208966213308,0.001766208966213308,55
4,1.6543442182562562,True,BRKM3,BRASKEM,Basic Materials,Chemicals,Petrochemicals,-0.012659440144682562,0.012659440144682562,30
4,1.6543442182562562,True,BRKM5,BRASKEM,Basic Materials,Chemicals,Petrochemicals,-0.005713917099037172,0.005713917099037172,47
4,1.6543442182562562,True,CCRO3,CCR,Industrials,Transportation,Infrastructure,-0.03579397821231646,0.03579397821231646,13
