matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
group_mode,3,BOBR4|GUAR3|POMO4,Consumer Non-Cyclical|Consumer Cyclical|Industrials,Personal and Home Care|Retail|Transportation Equipment,3,False,False,0.07135969539418983,0.039526565482918,0.0998564985331728
group_mode,3,BRAP3|BRAP4|CSNA3,Basic Materials|Basic Materials|Basic Materials,Mining|Mining|Steel and Metallurgy,1,True,False,0.19803622260377826,0.1755770965169703,0.2213450488784057
group_mode,3,BRAP3|BRAP4|GGBR3,Basic Materials|Basic Materials|Basic Materials,Mining|Mining|Steel and Metallurgy,1,True,False,0.20248257465637612,0.1827938909850933,0.2213450488784057
group_mode,3,BRAP3|BRAP4|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Mining|Mining,1,True,True,0.23299526924887468,0.2213450488784057,0.2559863378471467
group_mode,3,BRAP3|CSNA3|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Mining,1,True,False,0.19786979109996086,0.1755770965169703,0.2216544210210716
group_mode,3,BRAP3|GGBR3|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Mining,1,True,False,0.20221706386761537,0.1827938909850933,0.2216544210210716
group_mode,3,BRAP4|CSNA3|GOAU3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Steel and Metallurgy,1,True,False,0.17715951719826883,0.1581737010706348,0.1971865224159588
group_mode,3,BRAP4|CSNA3|VALE3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Mining,1,True,False,0.21651690534164872,0.1963778557618407,0.2559863378471467
group_mode,3,BRAP4|FESA4|GGBR3,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Steel and Metallurgy,1,True,False,0.13891180159107513,0.1026937543627869,0.2033087841056294
group_mode,3,BRAP4|FESA4|GGBR4,Basic Materials|Basic Materials|Basic Materials,Mining|Steel and Metallurgy|Steel and Metallurgy,1,True,False,0.14292441836934486,0.1026937543627869,0.213261428193427
