model,feature_set,symbol,horizon,split,MAE,RMSE,QLIKE,R2_oos
EWMA,Classical,BBDC4,20,test,0.027020082162239813,0.038309325425631834,-3.8046920291346997,-0.23882244710028955
"GARCH(1,1)",Classical,BBDC4,5,train,0.014291779796506341,0.019662454655397572,-5.206322565672423,0.3174568306376121
"GARCH(1,1)",Classical,BBDC4,5,validation,0.015727425080409075,0.026326626277194502,-4.957021377475223,0.33586544598533963
"GARCH(1,1)",Classical,BBDC4,5,test,0.01698469500042612,0.02494148590300913,-5.259932726894152,-0.1287237718294476
"GARCH(1,1)",Classical,BBDC4,20,train,0.02061788760197606,0.029972423285265042,-3.794962715198957,0.41577530617178016
"GARCH(1,1)",Classical,BBDC4,20,validation,0.026289739628992503,0.051070372829059074,-3.322356529602569,0.1963097765968994
"GARCH(1,1)",Classical,BBDC4,20,test,0.02618539006132646,0.03684106748394372,-3.897886844524956,-0.1456829967365323
HAR-RV,Classical,BBDC4,5,train,0.01387500372186648,0.019565499454245027,-5.191214950460119,0.32417145043949436
HAR-RV,Classical,BBDC4,5,validation,0.015145995983915216,0.02638932130447238,-4.9252028416933555,0.33269849914897687
HAR-RV,Classical,BBDC4,5,test,0.015403006773928718,0.023931119649189793,-5.244181432558093,-0.039128033879940016
HAR-RV,Classical,BBDC4,20,train,0.02047763159604204,0.03012685946284715,-3.7892611126496263,0.40973923255304046
HAR-RV,Classical,BBDC4,20,validation,0.02499780976852289,0.050199931750633586,-3.3218584652453345,0.22347242569042158
HAR-RV,Classical,BBDC4,20,test,0.02498432717341351,0.035478655554233754,-3.903855429935319,-0.06251327496283077
HV_20d,Classical,PETR4,5,train,0.019251599751496904,0.026275603124906774,-4.695819324917452,0.3170423467719038
HV_60d,Classical,PETR4,5,train,0.019768792602157477,0.026766915259577855,-4.727577075324371,0.2912631123761291
EWMA,Classical,PETR4,5,train,0.019057600155411386,0.02564795321343053,-4.757612276763959,0.3492805101121569
HV_20d,Classical,PETR4,5,validation,0.02634954654973687,0.049785540403527576,-4.399529482726373,0.0021569721623841964
HV_60d,Classical,PETR4,5,validation,0.03127440900941369,0.05462355595776738,-4.0224358064503605,-0.20120107995442504
EWMA,Classical,PETR4,5,validation,0.02976342515416908,0.0501129132321863,-4.243873371088798,-0.011009128541576985
HV_20d,Classical,PETR4,5,test,0.018069357152363553,0.02710686985248862,-5.037863863149483,0.07705539579139287
HV_60d,Classical,PETR4,5,test,0.017562781677487784,0.02604158704835715,-5.092857491716981,0.14817223897529097
EWMA,Classical,PETR4,5,test,0.017410705666090077,0.025546490028240946,-5.125701852016262,0.1802538778845183
