source,target,distance,correlation,weight,same_sector,same_subsector,sector_source,sector_target,subsector_source,subsector_target,matrix_type
FESA4,GGBR3,1.3336169867658336,0.1107328663048091,1.3336169867658336,True,True,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,group_mode
FESA4,TELB4,1.3805717382987557,0.0470108377053762,1.3805717382987557,False,False,Basic Materials,Telecommunications,Steel and Metallurgy,Telecommunications,group_mode
FESA4,TELB3,1.3867757211074032,0.038426549673521,1.3867757211074032,False,False,Basic Materials,Telecommunications,Steel and Metallurgy,Telecommunications,group_mode
GGBR3,VALE3,1.263168334311242,0.2022028795966811,1.263168334311242,True,False,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,group_mode
GGBR3,GGBR4,1.2709455154890683,0.1923487483291131,1.2709455154890683,True,True,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,group_mode
GGBR4,VALE3,1.2551289269254835,0.2123256883974421,1.2551289269254835,True,False,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,group_mode
GGBR4,GOAU4,1.2725592565589199,0.1902964692731046,1.2725592565589199,True,True,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,group_mode
GGBR4,TELB4,1.4326552464882802,-0.0262505276451977,1.4326552464882802,False,False,Basic Materials,Telecommunications,Steel and Metallurgy,Telecommunications,group_mode
GOAU3,VALE3,1.2848591780419483,0.1745684463006846,1.2848591780419483,True,False,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,group_mode
GOAU3,KLBN4,1.3595447574756019,0.0758190262103033,1.3595447574756019,True,False,Basic Materials,Basic Materials,Steel and Metallurgy,Paper and Cellulose,group_mode
GOAU4,VALE3,1.2680880995369255,0.1959762859064144,1.2680880995369255,True,False,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,group_mode
GOAU4,USIM5,1.2891984363897793,0.1689836958050741,1.2891984363897793,True,True,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,group_mode
GRND3,GUAR3,1.2939943274148007,0.1627893403091589,1.2939943274148007,True,False,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Retail,group_mode
GRND3,LREN3,1.327364520188436,0.1190517152724614,1.327364520188436,True,False,Consumer Cyclical,Consumer Cyclical,Apparel and Footwear,Retail,group_mode
GRND3,RENT3,1.3379893225757327,0.1048922863366661,1.3379893225757327,False,False,Consumer Cyclical,Industrials,Apparel and Footwear,Transportation,group_mode
GRND3,PSSA3,1.3629382556915803,0.0711996555861961,1.3629382556915803,False,False,Consumer Cyclical,Financials,Apparel and Footwear,Insurance,group_mode
GRND3,MGEL4,1.3723612034317207,0.0583123636577197,1.3723612034317207,False,False,Consumer Cyclical,Basic Materials,Apparel and Footwear,Steel and Metallurgy,group_mode
GUAR3,SHUL4,1.3146068618322473,0.1359043994117852,1.3146068618322473,False,False,Consumer Cyclical,Industrials,Retail,Machinery and Equipment,group_mode
GUAR3,ROMI3,1.32167543046915,0.1265870282470936,1.32167543046915,False,False,Consumer Cyclical,Industrials,Retail,Machinery and Equipment,group_mode
GUAR3,LREN3,1.3264851271801068,0.1202186036849879,1.3264851271801068,True,True,Consumer Cyclical,Consumer Cyclical,Retail,Retail,group_mode
GUAR3,RAPT4,1.3345810481726537,0.1094467129291905,1.3345810481726537,False,False,Consumer Cyclical,Industrials,Retail,Transportation Equipment,group_mode
GUAR3,RENT3,1.3369935320380344,0.1062241476442306,1.3369935320380344,False,False,Consumer Cyclical,Industrials,Retail,Transportation,group_mode
GUAR3,POMO4,1.3417477419148707,0.0998564985331728,1.3417477419148707,False,False,Consumer Cyclical,Industrials,Retail,Transportation Equipment,group_mode
GUAR3,SAPR4,1.3567475441452754,0.0796180507278818,1.3567475441452754,False,False,Consumer Cyclical,Utilities,Retail,Water and Sanitation,group_mode
GUAR3,UNIP6,1.3769456400035975,0.0520103522375415,1.3769456400035975,False,False,Consumer Cyclical,Basic Materials,Retail,Chemicals,group_mode
GUAR3,KEPL3,1.3786335858998922,0.0496847179144022,1.3786335858998922,False,False,Consumer Cyclical,Industrials,Retail,Machinery and Equipment,group_mode
ITSA3,ITSA4,1.3344461340586913,0.1096267576479067,1.3344461340586913,True,True,Financials,Financials,Financial Services,Financial Services,group_mode
ITSA3,PSSA3,1.3646653817820729,0.0688441978827947,1.3646653817820729,True,False,Financials,Financials,Financial Services,Insurance,group_mode
KEPL3,SHUL4,1.3773199233948865,0.0514949143097519,1.3773199233948865,True,True,Industrials,Industrials,Machinery and Equipment,Machinery and Equipment,group_mode
KEPL3,SAPR4,1.3913662708104662,0.0320499502254884,1.3913662708104662,False,False,Industrials,Utilities,Machinery and Equipment,Water and Sanitation,group_mode
KLBN4,VALE3,1.3458707521414461,0.0943159592651092,1.3458707521414461,True,False,Basic Materials,Basic Materials,Paper and Cellulose,Mining,group_mode
KLBN4,PETR3,1.4070115854232306,0.0101591992424037,1.4070115854232306,False,False,Basic Materials,Oil Gas and Biofuels,Paper and Cellulose,Oil Gas and Biofuels,group_mode
LREN3,RAPT4,1.3662431031297269,0.0666898915752273,1.3662431031297269,False,False,Consumer Cyclical,Industrials,Retail,Transportation Equipment,group_mode
LREN3,PSSA3,1.3668903922941509,0.0658053277269711,1.3668903922941509,False,False,Consumer Cyclical,Financials,Retail,Insurance,group_mode
MGEL4,RENT3,1.3861243240055703,0.0393296792000503,1.3861243240055703,False,False,Basic Materials,Industrials,Steel and Metallurgy,Transportation,group_mode
PETR3,PETR4,1.3627797116205043,0.0714157287977677,1.3627797116205043,True,True,Oil Gas and Biofuels,Oil Gas and Biofuels,Oil Gas and Biofuels,Oil Gas and Biofuels,group_mode
PETR3,VALE3,1.363317641105769,0.0706825047249008,1.363317641105769,False,False,Oil Gas and Biofuels,Basic Materials,Oil Gas and Biofuels,Mining,group_mode
PETR4,VALE3,1.3680744723392386,0.064186119066857,1.3680744723392386,False,False,Oil Gas and Biofuels,Basic Materials,Oil Gas and Biofuels,Mining,group_mode
ROMI3,SHUL4,1.2974975596301446,0.1582500413769098,1.2974975596301446,True,True,Industrials,Industrials,Machinery and Equipment,Machinery and Equipment,group_mode
ROMI3,UNIP6,1.3634830713225883,0.0704569571083609,1.3634830713225883,False,False,Industrials,Basic Materials,Machinery and Equipment,Chemicals,group_mode
SAPR4,SHUL4,1.358696981177222,0.0769712566699519,1.358696981177222,False,False,Utilities,Industrials,Water and Sanitation,Machinery and Equipment,group_mode
SHUL4,UNIP6,1.3661036719608655,0.06688037872752,1.3661036719608655,False,False,Industrials,Basic Materials,Machinery and Equipment,Chemicals,group_mode
TELB3,TELB4,0.639559377133976,0.7954819015600003,0.639559377133976,True,True,Telecommunications,Telecommunications,Telecommunications,Telecommunications,group_mode
USIM3,VALE3,1.287146071833228,0.1716274948821455,1.287146071833228,True,False,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,group_mode
USIM3,USIM5,1.3022577534738093,0.1520623717586735,1.3022577534738093,True,True,Basic Materials,Basic Materials,Steel and Metallurgy,Steel and Metallurgy,group_mode
USIM5,VALE3,1.2824999736214127,0.1775969088305379,1.2824999736214127,True,False,Basic Materials,Basic Materials,Steel and Metallurgy,Mining,group_mode
