date,pair,pearson_20d,pearson_60d,ewma
2011-05-25,ELET3 x CMIG4,0.43176246021914405,0.5489096127704619,0.40789909113165196
2011-05-26,ELET3 x CMIG4,0.45081857467802444,0.5523279347212962,0.4144889727962971
2011-05-27,ELET3 x CMIG4,0.5126177901125625,0.524381729823642,0.41536619076986636
2011-05-30,ELET3 x CMIG4,0.3304845073681285,0.5153407064858229,0.40471243822582187
2011-05-31,ELET3 x CMIG4,0.27987883124754487,0.4857532556431581,0.373477019522262
2011-06-01,ELET3 x CMIG4,0.23161823117020033,0.4749690290475391,0.3799616727012085
2011-06-02,ELET3 x CMIG4,0.1716758920506483,0.46664813798803884,0.3794583238849468
2011-06-03,ELET3 x CMIG4,0.0941191756159671,0.43544046917017026,0.3192272914446271
2011-06-06,ELET3 x CMIG4,0.1497708447271649,0.453138269436568,0.32622302762842276
2011-06-07,ELET3 x CMIG4,0.14228963340236636,0.4308678784570852,0.3267370335770109
2011-06-08,ELET3 x CMIG4,0.1287014669798044,0.42955694342457246,0.3174120816858269
2011-06-09,ELET3 x CMIG4,0.07462186740432335,0.4033618706810253,0.2895183946196451
2011-06-10,ELET3 x CMIG4,0.059592174221847594,0.34700917647916923,0.2881621960467156
2011-06-13,ELET3 x CMIG4,0.10806273833258359,0.33845216595946176,0.2882714212298663
2011-06-14,ELET3 x CMIG4,0.11484322016827143,0.3727989524472285,0.28841570110612785
2011-06-15,ELET3 x CMIG4,0.14221373341263943,0.37038491388751155,0.28684438072918855
2011-06-16,ELET3 x CMIG4,0.1479175609428168,0.3536201298799734,0.2894344128193923
2011-06-17,ELET3 x CMIG4,-0.007494449043875948,0.349981496344142,0.28495233497653855
2011-06-20,ELET3 x CMIG4,-0.17112587809964128,0.27775861438576527,0.1646028338487189
2011-06-21,ELET3 x CMIG4,-0.12948857651468668,0.2802356919308078,0.17173298889045957
2011-06-22,ELET3 x CMIG4,-0.06327380834400835,0.2993051548884538,0.19324769841763387
2011-06-24,ELET3 x CMIG4,-0.09539041681953579,0.2793845871759029,0.17020771659226439
2011-06-27,ELET3 x CMIG4,-0.13861539114427177,0.2596301559722847,0.13888983475376937
2011-06-28,ELET3 x CMIG4,-0.09992117785585004,0.2533699735245926,0.14648654551976367
2011-06-29,ELET3 x CMIG4,-0.037937307502630725,0.1891848076291986,0.14804076374463335
2011-06-30,ELET3 x CMIG4,-0.07909597954664566,0.19837899719778382,0.13814402322194116
2011-07-01,ELET3 x CMIG4,-0.09993163197441603,0.15658374323944635,0.13792443344701477
2011-07-04,ELET3 x CMIG4,-0.13656451955476684,0.16332578104627946,0.1366896674559702
2011-07-05,ELET3 x CMIG4,-0.0034987041670904474,0.19090502039006071,0.20415205298194125
2011-07-06,ELET3 x CMIG4,-0.08429059600761911,0.179356832966425,0.1969586464676219
2011-07-07,ELET3 x CMIG4,0.016683741820224512,0.1638497907126555,0.22936733037354667
2011-07-08,ELET3 x CMIG4,0.09831039596035822,0.15411766150797793,0.2346568094349401
2011-07-11,ELET3 x CMIG4,0.19031447828873657,0.18892642832350662,0.2765706045259343
2011-07-12,ELET3 x CMIG4,0.22696738662665905,0.20169468922716405,0.29523766496959525
2011-07-13,ELET3 x CMIG4,0.24329823565202396,0.20928310398753047,0.30731741136438767
2011-07-14,ELET3 x CMIG4,0.248703149921146,0.20365040902108253,0.3071096785016951
2011-07-15,ELET3 x CMIG4,0.2453007219266289,0.20439278806009373,0.3037850340975516
2011-07-18,ELET3 x CMIG4,0.23671049194276472,0.20765528784523207,0.2915748380805509
2011-07-19,ELET3 x CMIG4,0.47313352745204185,0.22692030742384975,0.3082055136440715
2011-07-20,ELET3 x CMIG4,0.4622914922903372,0.2370817624092857,0.31436845346962694
2011-07-21,ELET3 x CMIG4,0.49147900248075505,0.28171184770415764,0.34365500871637233
2011-07-22,ELET3 x CMIG4,0.5046244756883497,0.2681529324673382,0.3096821556524629
2011-07-25,ELET3 x CMIG4,0.5426722800148781,0.27874794708968226,0.3008727456695173
2011-07-26,ELET3 x CMIG4,0.6022475347593846,0.24718915853825899,0.3573478111604151
2011-07-27,ELET3 x CMIG4,0.6410659545828808,0.2859142358690616,0.4129343011056298
2011-07-28,ELET3 x CMIG4,0.6625761499102202,0.26682886820327406,0.41853652757223414
2011-07-29,ELET3 x CMIG4,0.3867053295329393,0.1708507953207979,0.2572136352207751
2011-08-01,ELET3 x CMIG4,0.3133786653624207,0.14082354074650644,0.2145921190093509
2011-08-02,ELET3 x CMIG4,0.19117469522718916,0.1261085691100438,0.16792562828624302
2011-08-03,ELET3 x CMIG4,0.2618095391774746,0.16416814291116327,0.22853401288737676
2011-08-04,ELET3 x CMIG4,0.23190250483147062,0.16685232570438,0.22301618020291436
2011-08-05,ELET3 x CMIG4,0.2382436342195833,0.15859790066137291,0.22356450938004127
2011-08-08,ELET3 x CMIG4,0.6505482749970641,0.4737580063350525,0.6099029034984323
2011-08-09,ELET3 x CMIG4,0.6607052923273595,0.5012516379034716,0.6292116849660061
2011-08-10,ELET3 x CMIG4,0.651183137805401,0.5046894986048618,0.6283917589595664
2011-08-11,ELET3 x CMIG4,0.6489738288233978,0.5095735433793597,0.6209659480981462
2011-08-12,ELET3 x CMIG4,0.6510826244134481,0.515489618056156,0.6259481018094616
2011-08-15,ELET3 x CMIG4,0.6729534804420301,0.5083295227035084,0.6276326432545057
2011-08-16,ELET3 x CMIG4,0.6943206844279707,0.5269731040383258,0.6447152491077274
2011-08-17,ELET3 x CMIG4,0.6921578607634319,0.5304179874921469,0.6433109490317631
2011-08-18,ELET3 x CMIG4,0.6866629135005754,0.5390564349734536,0.6457549127013883
2011-08-19,ELET3 x CMIG4,0.6971523752264206,0.5469393731255633,0.6525559619088502
2011-08-22,ELET3 x CMIG4,0.7119173531525023,0.5520148711258062,0.6593155902694183
2011-08-23,ELET3 x CMIG4,0.6743743184565315,0.539628666265853,0.6258878594791657
2011-08-24,ELET3 x CMIG4,0.6579613829165295,0.543514735476935,0.6140607567568753
2011-08-25,ELET3 x CMIG4,0.6576922807198959,0.5434854824837333,0.6092641909530977
2011-08-26,ELET3 x CMIG4,0.7050001075114684,0.5362119471995879,0.5925243540719431
2011-08-29,ELET3 x CMIG4,0.7271581415464571,0.5653303604252362,0.5969633431843365
2011-08-30,ELET3 x CMIG4,0.768798201230053,0.5652696291063205,0.596805521278455
2011-08-31,ELET3 x CMIG4,0.7662837612564943,0.5754271745836269,0.6098021592974964
2011-09-01,ELET3 x CMIG4,0.7901015087746447,0.5784655660895524,0.6092241831032981
2011-09-02,ELET3 x CMIG4,0.7912790119321906,0.5909108098951831,0.6132028121354324
2011-09-05,ELET3 x CMIG4,0.5741286423974152,0.5919595222392666,0.6133408752304131
2011-09-06,ELET3 x CMIG4,0.5460550785677553,0.5787212583430089,0.5871760106008764
2011-09-08,ELET3 x CMIG4,0.5511565937534426,0.5802109734435422,0.5900566533112391
2011-09-09,ELET3 x CMIG4,0.5793192492763295,0.5851658744902609,0.5994878163187887
2011-09-12,ELET3 x CMIG4,0.5546205115881626,0.5847231490363767,0.5999308275108267
2011-09-13,ELET3 x CMIG4,0.5419948597759796,0.5862465825861908,0.5992144769784877
2011-09-14,ELET3 x CMIG4,0.5017073700025565,0.6248465549980067,0.6013413370878555
2011-09-15,ELET3 x CMIG4,0.5136114729560302,0.6251728850815816,0.6044666668163989
2011-09-16,ELET3 x CMIG4,0.4607996430649735,0.5918712747418089,0.5533447804582518
2011-09-19,ELET3 x CMIG4,0.38901248102142455,0.5932752410658989,0.5340587958053807
2011-09-20,ELET3 x CMIG4,0.36707333021778976,0.5943931122359535,0.5259609443434272
2011-09-21,ELET3 x CMIG4,0.36911426482154486,0.598301631620412,0.5266828628311675
2011-09-22,ELET3 x CMIG4,0.5794884638947926,0.623133665648612,0.598242818307039
2011-09-23,ELET3 x CMIG4,0.6019902138200641,0.6266682471494545,0.6055360010613221
2011-09-26,ELET3 x CMIG4,0.6268247876229303,0.6146659511705815,0.5813387299881619
2011-09-27,ELET3 x CMIG4,0.6225914218228815,0.6154440876519109,0.5820153431197852
2011-09-28,ELET3 x CMIG4,0.6199531696186897,0.6093295039310076,0.5762193880909566
2011-09-29,ELET3 x CMIG4,0.5977088718714448,0.602988088500352,0.5558296858861889
2011-09-30,ELET3 x CMIG4,0.594386442159604,0.5993644174447847,0.5480005644034261
2011-10-03,ELET3 x CMIG4,0.5856636301451024,0.5992929631991989,0.5503708580933855
2011-10-04,ELET3 x CMIG4,0.609659438637764,0.6038846995794722,0.5669259308331787
2011-10-05,ELET3 x CMIG4,0.5867947125276355,0.6031636622142414,0.5660218095483784
2011-10-06,ELET3 x CMIG4,0.5754149641117836,0.5958637438056678,0.5529331563358272
2011-10-07,ELET3 x CMIG4,0.5791239515842457,0.5992691840982646,0.5631215881357184
2011-10-10,ELET3 x CMIG4,0.6525589226206362,0.6227598875841365,0.6165149255864496
2011-10-11,ELET3 x CMIG4,0.6525804517023176,0.6241192429848124,0.6123785402791887
2011-10-13,ELET3 x CMIG4,0.6551084503657266,0.6224038541660991,0.6095890377321755
2011-10-14,ELET3 x CMIG4,0.6430599071065691,0.6218052507026779,0.6076173394468101
2011-10-17,ELET3 x CMIG4,0.6382486641472834,0.6166416315323459,0.6003253632216017
2011-10-18,ELET3 x CMIG4,0.6439741838625279,0.6137278454154524,0.582405214420311
2011-10-19,ELET3 x CMIG4,0.5771273421302958,0.5947716029439009,0.5293006422800406
2011-10-20,ELET3 x CMIG4,0.5689189962989593,0.590508495921308,0.5294757612489385
2011-10-21,ELET3 x CMIG4,0.4584130964910535,0.5782783098118638,0.5133160218547133
2011-10-24,ELET3 x CMIG4,0.46992381382500326,0.5863740465214328,0.5253844599060787
2011-10-25,ELET3 x CMIG4,0.5836238711488814,0.62433577147005,0.5747841031654066
2011-10-26,ELET3 x CMIG4,0.5188694121732431,0.6117801576357029,0.5295955637428968
2011-10-27,ELET3 x CMIG4,0.4709235055283592,0.6117815440265085,0.5052931773785019
2011-10-28,ELET3 x CMIG4,0.46079980414862665,0.5950926623909074,0.4811314329873243
2011-10-31,ELET3 x CMIG4,0.4477517987082018,0.5949058025416034,0.4676026023232652
2011-11-01,ELET3 x CMIG4,0.4234076472102873,0.5970512275042091,0.46960512404432064
2011-11-03,ELET3 x CMIG4,0.35898528108763567,0.49283596658646683,0.4627315907433956
2011-11-04,ELET3 x CMIG4,0.33117587142316507,0.49262509169954005,0.4548284868295534
2011-11-07,ELET3 x CMIG4,0.34262735226455876,0.49179088896597406,0.45463933296952574
2011-11-08,ELET3 x CMIG4,0.3387263836393422,0.4978056268341665,0.4711775617688146
2011-11-09,ELET3 x CMIG4,0.3194551832999005,0.4969297875319799,0.48423407498897614
2011-11-10,ELET3 x CMIG4,0.32853713538892465,0.48726108132843543,0.4775883568963388
2011-11-11,ELET3 x CMIG4,0.2975050192292753,0.46210911421048256,0.44910800415849356
2011-11-14,ELET3 x CMIG4,0.32857900752620484,0.46707979992072685,0.45850190232095633
2011-11-16,ELET3 x CMIG4,0.3604358213013938,0.4698550850731153,0.4716548767007255
