symbol1,symbol2,correlation,n_obs
BBDC3,TRPL4,0.3150812356029996,6274
KLBN4,PETR4,0.31468529084386204,5949
CSNA3,RAPT4,0.3143490227974702,6764
BBDC3,GUAR3,0.3143142169879495,5871
ITSA4,UNIP6,0.31397964141296814,6878
KLBN4,PETR3,0.3139478240584097,5949
PETR4,POMO4,0.3137592422419539,6696
BRKM5,USIM3,0.31358101636793145,5609
CYRE3,KLBN4,0.31352426354194257,5064
RENT3,USIM3,0.3133407767172835,5096
GRND3,GUAR3,0.313234570451607,5201
GOAU3,SBSP3,0.3130016519016586,5852
CMIG4,SAPR4,0.31297682429818297,5778
CMIG4,GOAU3,0.3128691247007824,5852
CPLE6,VALE3,0.3125371521327144,6823
SBSP3,VALE3,0.3125359076794116,6857
GUAR3,ITSA4,0.3123751387292551,5871
ELET3,GGBR3,0.3123470504229926,5648
RENT3,VALE3,0.31223482856754536,5106
CMIG4,RAPT4,0.3120079398728169,6766
GGBR4,TRPL4,0.3113213063853119,5896
BRAP3,CPLE6,0.31132092267103634,6176
PETR4,UNIP6,0.31075090011830336,6878
CMIG3,RENT3,0.310505518660906,5106
CCRO3,PSSA3,0.3098008835375531,5060
BRAP4,TRPL4,0.30975269622608725,6013
BRKM5,CPFE3,0.30962460359601435,5264
CCRO3,GUAR3,0.3093436945659868,5351
BBDC4,UNIP6,0.3092738962188766,6879
LREN3,PSSA3,0.308800698692422,5081
GOAU4,UNIP6,0.3082194911699184,6878
PETR3,POMO4,0.30802155383221075,6696
CPLE3,LREN3,0.30775380753194737,5000
PSSA3,SBSP3,0.30774452639999644,5229
BRKM5,RAPT4,0.3077433832007831,5771
GGBR3,LREN3,0.30762920576982417,5082
ELET3,RAPT4,0.3076078550958257,6733
CYRE3,TRPL4,0.3075867743326853,4786
CCRO3,USIM5,0.30755422923578907,5665
ITSA3,RENT3,0.3072499769867579,4912
BRKM5,CCRO3,0.3072325306550166,5580
GOAU4,LREN3,0.30701061904079197,5092
CPLE6,KLBN4,0.30651111996363883,5915
BRAP3,CMIG4,0.3063315106487673,6210
BBAS3,USIM3,0.3055032592696433,6003
BRAP3,CMIG3,0.3052929063047364,6210
CPLE6,RAPT4,0.3052339007034291,6733
BRKM5,TRPL4,0.30502233326406636,5505
CCRO3,CSNA3,0.30395519233480695,5665
PETR3,UNIP6,0.3039313759028222,6878
ITSA3,PETR4,0.30327571613389387,5710
CMIG3,GGBR3,0.30288607420848707,5682
BRKM5,LREN3,0.3028608430301239,5082
ELET6,GGBR3,0.30259802781171063,5648
GOAU4,POMO4,0.30258132896350853,6696
BRAP4,CPLE3,0.30236797945766897,6198
BRAP3,SBSP3,0.30217514885268026,6210
KLBN4,SBSP3,0.3017446156100323,5949
LREN3,PETR3,0.30156850899558174,5092
CPFE3,VALE3,0.30153630401388604,5264
BBAS3,GRND3,0.30135408224029914,5243
PSSA3,RAPT4,0.3012781666963967,5228
BRKM5,CMIG3,0.3008973729420472,5783
ELET6,RAPT4,0.3005154512514528,6733
