matrix_type,clique_size,nodes,sectors,subsectors,n_unique_sectors,same_sector_clique,same_subsector_clique,mean_internal_correlation,min_internal_correlation,max_internal_correlation
filtered,3,GGBR4|ITSA4|PETR3,Basic Materials|Financials|Oil Gas and Biofuels,Steel and Metallurgy|Financial Services|Oil Gas and Biofuels,3,False,False,0.6184092401276644,0.5704451664309498,0.675074272793249
filtered,3,GGBR4|PETR3|USIM3,Basic Materials|Oil Gas and Biofuels|Basic Materials,Steel and Metallurgy|Oil Gas and Biofuels|Steel and Metallurgy,2,False,False,0.627243266358274,0.5326249604695329,0.7393965574464945
filtered,3,GOAU3|GOAU4|USIM3,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.7397578025604087,0.6936684699550619,0.7838752439506061
filtered,3,GOAU3|GOAU4|USIM5,Basic Materials|Basic Materials|Basic Materials,Steel and Metallurgy|Steel and Metallurgy|Steel and Metallurgy,1,True,True,0.7712601274627232,0.7392762890788257,0.7906288493587377
filtered,3,GOAU4|ITSA4|PETR3,Basic Materials|Financials|Oil Gas and Biofuels,Steel and Metallurgy|Financial Services|Oil Gas and Biofuels,3,False,False,0.6203818810651645,0.5750184568570035,0.675074272793249
filtered,3,GOAU4|PETR3|USIM3,Basic Materials|Oil Gas and Biofuels|Basic Materials,Steel and Metallurgy|Oil Gas and Biofuels|Steel and Metallurgy,2,False,False,0.6284691892634439,0.5326249604695329,0.7417296937755578
filtered,3,GRND3|GUAR3|LREN3,Consumer Cyclical|Consumer Cyclical|Consumer Cyclical,Apparel and Footwear|Retail|Retail,1,True,False,0.5004335258907576,0.4827843377019,0.5267253143320307
filtered,3,GUAR3|LREN3|RAPT4,Consumer Cyclical|Consumer Cyclical|Industrials,Retail|Retail|Transportation Equipment,2,False,False,0.541386812684999,0.5267253143320307,0.5624126070390402
filtered,3,GUAR3|RAPT4|ROMI3,Consumer Cyclical|Industrials|Industrials,Retail|Transportation Equipment|Machinery and Equipment,2,False,False,0.4497841992616716,0.4001246518536019,0.5350225166839263
filtered,3,GUAR3|RAPT4|SHUL4,Consumer Cyclical|Industrials|Industrials,Retail|Transportation Equipment|Machinery and Equipment,2,False,False,0.4364320486009386,0.3857748304604038,0.5350225166839263
filtered,3,GUAR3|ROMI3|SHUL4,Consumer Cyclical|Industrials|Industrials,Retail|Machinery and Equipment|Machinery and Equipment,2,False,False,0.3800002218929876,0.3541011833649569,0.4001246518536019
filtered,3,ITSA4|PETR3|SCAR3,Financials|Oil Gas and Biofuels|Real Estate,Financial Services|Oil Gas and Biofuels|Real Estate,3,False,False,0.4784781714450344,0.3630884200420649,0.675074272793249
filtered,3,LREN3|RAPT4|RENT3,Consumer Cyclical|Industrials|Industrials,Retail|Transportation Equipment|Transportation,2,False,False,0.5473975483260749,0.5394522047510573,0.5624126070390402
filtered,3,LREN3|TELB3|TELB4,Consumer Cyclical|Telecommunications|Telecommunications,Retail|Telecommunications|Telecommunications,2,False,False,0.3838381255129595,0.1463660899760433,0.830707806129867
