symbol,company_name,sector,subsector,segment,degree,degree_centrality,betweenness_centrality,closeness_centrality,eigenvector_centrality,clustering_coefficient,avg_financial_volume,n_days,first_date,last_date,specification
ALPA4,ALPARGATAS,Consumer Cyclical,Apparel and Footwear,Footwear,4,0.07017543859649122,0.0,0.32378580474204305,0.11264326410751911,0.638169364526269,0.0,,,,
ELET6,ELETROBRAS,Utilities,Electric Utility,Generation and Transmission,4,0.07017543859649122,0.008145363408521303,0.4001165026346,0.09196961462699488,0.5056912082047967,0.0,,,,
BEES3,BANESTES,Financials,Banks,Banks,3,0.05263157894736842,0.0,0.37521588544056333,0.13694527758009506,0.7969351417043834,0.0,,,,
BAZA3,BANCO DA AMAZONIA,Financials,Banks,Banks,3,0.05263157894736842,0.0,0.37871296036590385,0.11021856910429947,0.7993696990423889,0.0,,,,
CGAS5,COMGAS,Utilities,Gas Utility,Distribution,3,0.05263157894736842,0.0,0.3618947360205266,0.12503134285916945,0.8520893300192459,0.0,,,,
BOBR4,BOMBRIL,Consumer Non-Cyclical,Personal and Home Care,Home Care,3,0.05263157894736842,0.0,0.29157175537659874,0.007614379340993968,0.6981364310856152,0.0,,,,
BRAP3,BRADESPAR,Basic Materials,Mining,Holdings,3,0.05263157894736842,0.0,0.3256228948175838,0.007699367051881038,0.5099838386176893,0.0,,,,
BRKM3,BRASKEM,Basic Materials,Chemicals,Petrochemicals,3,0.05263157894736842,0.0,0.3015617088171405,0.007149172199399285,0.7050507051540897,0.0,,,,
EMBR3,EMBRAER,Industrials,Aerospace and Defense,Aerospace,3,0.05263157894736842,0.0,0.33051372629030173,0.015077066014837756,0.7237342066809775,0.0,,,,
EMAE4,EMAE,Utilities,Electric Utility,Generation,3,0.05263157894736842,0.0,0.28454410323211954,0.08171582722113431,0.9006248338440627,0.0,,,,
CTNM4,COTEMINAS,Consumer Cyclical,Textiles,Textiles,3,0.05263157894736842,0.0,0.3050872258471154,0.11447730129963334,0.8521639480879687,0.0,,,,
COCE5,COELCE,Utilities,Electric Utility,Distribution,3,0.05263157894736842,0.0,0.3180429542556949,0.08063906742200841,0.7703951217270447,0.0,,,,
ETER3,ETERNIT,Industrials,Construction Materials,Construction Materials,3,0.05263157894736842,0.0,0.31293443746226957,0.12121701652348327,0.8282891650955838,0.0,,,,
KEPL3,KEPLER WEBER,Industrials,Machinery and Equipment,Agricultural,3,0.05263157894736842,0.0,0.36018459240104017,0.1627434194549391,0.8614345627681544,0.0,,,,
ITSA3,ITAUSA,Financials,Financial Services,Holdings,3,0.05263157894736842,0.0,0.39971977117367674,0.08360215315388285,0.6650928463660236,0.0,,,,
FESA4,FERBASA,Basic Materials,Steel and Metallurgy,Metallurgy,3,0.05263157894736842,0.0,0.3353614563556424,0.01578048059567158,0.6429234703911776,0.0,,,,
MGEL4,MANGELS,Basic Materials,Steel and Metallurgy,Metallurgy,3,0.05263157894736842,0.0,0.3082016381572536,0.015548501036524751,0.7018123068804035,0.0,,,,
SCAR3,SAO CARLOS,Real Estate,Real Estate,Commercial Properties,3,0.05263157894736842,0.0,0.3713102520308645,0.12854717725782916,0.7724347130796204,0.0,,,,
PSSA3,PORTO SEGURO,Financials,Insurance,Insurance,3,0.05263157894736842,0.0,0.40846460187300543,0.09465536339160469,0.7369784872237078,0.0,,,,
SAPR4,SANEPAR,Utilities,Water and Sanitation,Water and Sanitation,3,0.05263157894736842,0.0,0.3258264800281488,0.059308548147390526,0.727656347519987,0.0,,,,
TRPL4,ISA CTEEP,Utilities,Electric Utility,Transmission,3,0.05263157894736842,0.0,0.3168463074914152,0.049302845472377954,0.7239249092785993,0.0,,,,
TELB3,TELEBRAS,Telecommunications,Telecommunications,Telecommunications,3,0.05263157894736842,0.0,0.3014703453326406,0.07048482997983853,0.8552011026375713,0.0,,,,
USIM3,USIMINAS,Basic Materials,Steel and Metallurgy,Steel,3,0.05263157894736842,0.0,0.33677960906071747,0.004720912474584209,0.5124460275689292,0.0,,,,
UNIP6,UNIPAR,Basic Materials,Chemicals,Chemicals,3,0.05263157894736842,0.0,0.33748095647532783,0.035477530109150224,0.6715749010719615,0.0,,,,
