model,feature_set,symbol,horizon,split,MAE,RMSE,QLIKE,R2_oos
Random Forest,Set C (+Network),BBDC4,5,test,0.01569401755362782,0.023366124015524427,-5.285173095437371,0.009358813699979485
Random Forest,Set C (+Network),PETR4,5,train,0.01492216148659131,0.02030375742576988,-4.861331315342887,0.5922056340042418
Random Forest,Set C (+Network),PETR4,5,validation,0.021958972178460493,0.04495705704118335,-4.1933487219304535,0.18632396734661338
Random Forest,Set C (+Network),PETR4,5,test,0.017607585358088932,0.02591109934151456,-5.080601115081891,0.1566874320972763
Random Forest,Set C (+Network),VALE3,5,train,0.014245653940749826,0.019373554426645068,-4.86178654940781,0.6024617317073294
Random Forest,Set C (+Network),VALE3,5,validation,0.020219068755116983,0.03767587497784839,-4.545723029812166,0.033118177000581395
Random Forest,Set C (+Network),VALE3,5,test,0.015099882098612058,0.018708602050065522,-5.386579954151738,0.4305651416198163
HistGradientBoosting,Set C (+Network),BBDC4,5,train,0.010941899741386917,0.014904131567879137,-5.31264862355499,0.6078357432682624
HistGradientBoosting,Set C (+Network),BBDC4,5,validation,0.01618802705168385,0.02755711840950683,-4.926349681180987,0.27233202062433326
HistGradientBoosting,Set C (+Network),BBDC4,5,test,0.016000469161509004,0.02386613935687755,-5.250693979357067,-0.03349259585465614
HistGradientBoosting,Set C (+Network),PETR4,5,train,0.01310900887983984,0.01780406545065653,-4.91419363123894,0.6864355975254466
HistGradientBoosting,Set C (+Network),PETR4,5,validation,0.02315224955867307,0.04581744808311331,-4.184289133853648,0.15488157765732902
HistGradientBoosting,Set C (+Network),PETR4,5,test,0.018414992722664492,0.0264437229270925,-5.053173115479906,0.12166115513498765
HistGradientBoosting,Set C (+Network),VALE3,5,train,0.012827347661124743,0.01712982874374673,-4.90313414341223,0.6892104773126531
HistGradientBoosting,Set C (+Network),VALE3,5,validation,0.02131259513942719,0.039003609607781924,-4.489029260702574,-0.03623033856762148
HistGradientBoosting,Set C (+Network),VALE3,5,test,0.01591076723261011,0.019914320019424243,-5.364560772523209,0.35480300114464425
MLP,Set C (+Network),BBDC4,5,train,0.012955726234267826,0.018770976939599567,-5.144474392161038,0.37794553902488737
MLP,Set C (+Network),BBDC4,5,validation,0.014610403733874457,0.026431426747359436,-4.868055546170972,0.3305673764882775
MLP,Set C (+Network),BBDC4,5,test,0.013587657093725348,0.02243411680615568,-5.013692418134124,0.08681035390291669
MLP,Set C (+Network),PETR4,5,train,0.016566332457230916,0.023774472870239084,-4.7000391561465245,0.4408733638363985
MLP,Set C (+Network),PETR4,5,validation,0.021971527682115733,0.04823219314871926,23758.439688494534,0.06345252782068034
MLP,Set C (+Network),PETR4,5,test,0.015527926959826764,0.024406912686041664,-4.7785455422421474,0.25175712695951
MLP,Set C (+Network),VALE3,5,train,0.016077534057966497,0.02310765742704282,-4.733074762579043,0.43444848750731335
